case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,44,Refri,CF3,Refri:CF3,4,-4.707630398128302e-19,2.0855514015770717e-18,5.213878503942679e-19,2.0855207206042364e-06,4
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,44,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,-7.01836590164372e-19,1.674216454939472e-18,5.580721516464907e-19,1.6741918251990899e-06,5
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,45,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0068497201427817345,0.017616801895201206,0.003523360379040241,0.2622036236935422,1
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,45,Refri,CF3,Refri:CF3,4,-0.0010840545874089003,0.014659309992566705,0.003664827498141676,0.21818512938747234,2
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,45,Anion,PF6_Core,Anion:PF6_Core,7,-0.004634069046005607,0.013166706543415785,0.0018809580776308263,0.1959696310562197,3
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,45,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0035164677537977695,0.012138938996940851,0.004046312998980284,0.18067262217779462,4
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,45,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.006350325420498848,0.009605727042071521,0.0019211454084143043,0.1429689936700873,5
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,46,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,46,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.0,0.0,0.0,0.0,2
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,46,Anion,PF6_Core,Anion:PF6_Core,7,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,46,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,46,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,5
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.0,0.0,0.0,0.0,2
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Anion,CF3,Anion:CF3,8,0.0,0.0,0.0,0.0,3
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.0,0.0,0.0,0.0,4
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,0.0,0.0,0.0,0.0,5
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,0.0,0.0,0.0,0.0,6
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Anion,Other,Anion:Other,4,0.0,0.0,0.0,0.0,7
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,42,Refri,CHF2,Refri:CHF2,6,0.0,0.0,0.0,0.0,8
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Anion,CF3,Anion:CF3,8,6.949027742120251e-10,9.587398652755041e-10,1.1984248315943802e-10,0.25647738835142603,1
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,4.694572508512351e-10,6.614259140391709e-10,1.1023765233986182e-10,0.17694141775566335,2
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Refri,CHF2,Refri:CHF2,6,4.634045508433715e-10,6.330356794315151e-10,1.0550594657191918e-10,0.16934660138202332,3
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Anion,Other,Anion:Other,4,2.766299134204786e-10,3.905374357238145e-10,9.763435893095362e-11,0.10447466011974339,4
